Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Metta World Peace,LAL,37,23,7,16,5.5,42.2,57.8,33.3,11.1,41.7,13.9,25,5.6,22.2,16.7,83.3,100,0,54.5,45.5
Meyers Leonard,POR,25,72,36,36,16,42.8,57.2,35.7,16.3,55.1,3.1,9.2,14.7,19.4,76.5,23.5,98.6,1.4,87.7,12.3
Michael Beasley,MIL,28,54,22,32,16.4,89.8,10.2,74.9,24.3,10,10.6,15.1,15.3,50.6,54.5,45.5,100,0,58.2,41.8
Michael Carter-Williams,CHI,25,43,23,20,19.2,79.1,20.9,64.8,13.7,15.4,16,19.8,13,51.2,42.1,57.9,93.3,6.7,49.1,50.9
Michael Gbinije,DET,24,9,7,2,3.5,60,40,50,0,0,50,50,0,50,0,100,0,0,0,100
Michael Kidd-Gilchrist,CHA,23,79,36,43,29.1,98.5,1.5,78.9,21.7,0.4,20.3,20.7,17.4,57.2,70.8,29.2,100,0,70.9,29.1
Mike Conley,MEM,29,68,35,33,33.4,58.5,41.5,41.4,13,36.2,11.3,22.4,15.1,28.4,26.6,73.4,55.6,44.4,37.3,62.7
Mike Dunleavy,ATL,36,51,33,18,15.8,39.7,60.3,29.5,7.6,58,6.4,12.5,20.1,22,76.9,23.1,96.1,3.9,87.8,12.2
Mike Miller,DEN,37,18,7,11,5.2,12.5,87.5,0,0,90,15,10,0,0,0,0,100,0,100,0
Mike Muscala,ATL,25,68,35,33,17.6,67.5,32.5,57.1,15.3,31.7,7.7,11.3,14.6,41.7,84,16,100,0,88.3,11.7
Mike Scott,ATL,28,18,7,11,10.8,54.2,45.8,57.8,13.3,26.7,15.6,15.6,15.6,44.4,76.9,23.1,75,25,76.5,23.5
Mike Tobey,CHA,22,2,0,2,12.6,100,0,100,0,0,0,0,0,100,0,100,0,0,0,100
Miles Plumlee,CHA,28,43,19,24,10.2,100,0,77.1,1.8,0,4.6,22.9,14.7,75.2,85.7,14.3,0,0,85.7,14.3
Mindaugas Kuzminskas,NYK,27,67,23,44,14.9,54.1,45.9,48.8,1.4,38.4,15,12.8,16.9,47.3,62.4,37.6,90.6,9.4,72.1,27.9
Mirza Teletovic,MIL,31,68,35,33,16.1,26.9,73.1,23,8.1,69.6,16.9,7.4,14.4,14.9,74.5,25.5,97.1,2.9,89.6,10.4
Monta Ellis,IND,31,72,37,35,27.1,75.6,24.4,64.6,21,20.5,16.9,14.8,19.7,43.6,32,68,88.4,11.6,41.9,58.1
Montrezl Harrell,HOU,23,57,39,18,18.1,98.2,1.8,84.8,4.3,0.6,14.8,14.6,19.3,80.5,78.8,21.2,0,100,78.4,21.6
Myles Turner,IND,21,79,40,39,31.4,86.5,13.5,68.8,25.2,10.6,5.4,20.7,13.6,43.6,81.8,18.2,97.5,2.5,83.3,16.7
Nemanja Bjelica,MIN,28,65,28,37,18.3,50.3,49.7,47.1,2.5,41.7,11.9,11.2,12.9,44.7,52.6,47.4,96.4,3.6,68.9,31.1
Nene,HOU,34,66,46,20,17.9,97.7,2.3,79.3,10.7,1.5,6.2,19.2,17,68.7,84,16,100,0,84.2,15.8
Nerlens Noel,DAL,23,49,23,26,20.5,99.7,0.3,82.4,8.4,0,13.3,17.6,23,74,73.9,26.1,0,0,73.9,26.1
Nick Collison,OKC,36,18,9,9,6.2,100,0,78.3,8.7,0,0,21.7,13,69.6,66.7,33.3,0,0,66.7,33.3
Nick Young,LAL,31,60,19,41,25.9,33.5,66.5,25.8,13.4,64.5,18.7,9.7,18,12.4,52.9,47.1,91.8,8.2,77.2,22.8
Nicolas Batum,CHA,28,75,35,40,34.4,58.2,41.8,44.1,22.5,34.9,6.6,21.1,14.6,21.5,46.1,53.9,86.6,13.4,60.1,39.9
Nicolas Brussino,DAL,24,52,17,35,8.8,35.2,64.8,33.8,13.8,55.4,6.2,10.8,12.3,20,59.1,40.9,100,0,80.4,19.6
Nicolas Laprovittola,SAS,27,18,15,3,9.7,42.6,57.4,33.9,3.4,50.8,18.6,15.3,32.2,30.5,30,70,100,0,65,35
Nik Stauskas,PHI,23,78,27,51,27.3,43.3,56.7,31.8,6,52.7,12.8,15.5,13.7,25.8,50,50,82.8,17.2,67.2,32.8
Nikola Jokic,DEN,22,71,35,36,27.9,83.7,16.3,73.9,14,11.1,5.7,14.9,8.3,59.9,56.6,43.4,95.5,4.5,60.2,39.8
Nikola Mirotic,CHI,26,68,35,33,24,39.6,60.4,34.8,7.5,51.7,12,13.5,14.5,27.3,68.8,31.2,96.8,3.2,82.7,17.3
Nikola Vucevic,ORL,26,73,26,47,28.9,92.8,7.2,84.4,35.3,5.6,3.5,10,13.1,49.1,61.2,38.8,100,0,62.9,37.1
Noah Vonleh,POR,21,72,37,35,16.5,92.1,7.9,73.9,13.9,6.9,2.6,19.1,8.3,60.1,60.7,39.3,85.7,14.3,62.2,37.8
Norman Powell,TOR,23,75,46,29,17.8,65.9,34.1,53.7,6.9,26,21.8,20.3,18.5,46.8,27.4,72.6,94.3,5.7,43.8,56.2
Norris Cole,OKC,28,11,4,7,7.9,75,25,61.5,23.1,23.1,30.8,15.4,26.9,38.5,25,75,100,0,40,60
Okaro White,MIA,24,33,24,9,13.5,61.7,38.3,41.7,8.3,37.5,9.4,20.8,11.5,33.3,70,30,100,0,81.3,18.8
Omer Asik,NOP,30,31,12,19,15.6,100,0,72.9,0,0,3.5,27.1,8.2,72.9,71,29,0,0,71,29
Omri Casspi,MIN,28,34,12,22,17.8,73.2,26.8,66.3,0,24,22.9,9.7,20.6,66.3,72.4,27.6,100,0,77.8,22.2
Otto Porter Jr.,WAS,23,79,48,31,32.8,57.4,42.6,49.2,18.6,41.7,16.8,9,17.9,30.6,66.8,33.2,96.6,3.4,77.6,22.4
Pascal Siakam,TOR,23,54,34,20,15.4,97,3,88.7,17.2,1.4,19.9,10,23.1,71.5,66.3,33.7,100,0,66.7,33.3
Pat Connaughton,POR,24,37,17,20,6.6,61.2,38.8,46.9,0,42.2,32.8,10.9,10.9,46.9,80,20,88.9,11.1,83.3,16.7
Patricio Garino,ORL,23,3,1,2,6.5,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Beverley,HOU,28,66,45,21,30.7,47.3,52.7,37.2,3.5,51.5,13.5,11.3,20.2,33.7,29.9,70.1,83.3,16.7,55.6,44.4
Patrick McCaw,GSW,21,69,56,13,14.8,48.7,51.3,44.6,4.6,45,21.5,10.4,18.8,40,75.9,24.1,92.3,7.7,82.5,17.5
Patrick Patterson,TOR,28,64,41,23,24.7,34.2,65.8,27.1,6.8,63.1,3.6,9.7,14.9,20.4,51.7,48.3,97.8,2.2,79.7,20.3
Patty Mills,SAS,28,78,60,18,22,42.6,57.4,33.2,16.1,57.9,16.2,8.8,18.6,17.2,54,46,81.9,18.1,69,31
Pau Gasol,SAS,36,62,47,15,25.6,82.6,17.4,62.4,24.4,21,4.8,16.6,11.4,38.1,67.2,32.8,100,0,73.2,26.8
Paul George,IND,26,73,37,36,35.8,63.4,36.6,48,26.6,32.7,11.1,19.3,17.2,21.4,37.9,62.1,81.3,18.7,51.4,48.6
Paul Millsap,ATL,32,68,39,29,34.1,75.1,24.9,56.6,15.5,18.2,5.3,25.2,13.8,41.1,55.7,44.3,94.7,5.3,62.6,37.4
Paul Pierce,LAC,39,23,14,9,11.7,39.7,60.3,31,16.9,54.9,5.6,14.1,16.9,14.1,54.5,45.5,100,0,79.2,20.8
Paul Zipser,CHI,23,42,19,23,18.8,55.5,44.5,47.2,15.1,38.2,18.9,14.6,16.5,32.1,86,14,100,0,90.9,9.1
Pierre Jackson,DAL,25,8,4,4,10.6,71.8,28.2,57.1,17.1,25.7,20,17.1,31.4,40,10,90,66.7,33.3,23.1,76.9
PJ Tucker,TOR,31,80,34,46,27.9,59.4,40.6,47.8,8.1,38.9,18.1,13.3,19.8,39.6,45.7,54.3,98.6,1.4,64.3,35.7
Quincy Acy,BKN,26,38,11,27,14.7,47.1,52.9,29.7,5.4,50,2.7,20.3,17.1,24.3,72.7,27.3,97.3,2.7,85.7,14.3
Quinn Cook,NOP,24,12,8,4,11.8,57.7,42.3,58.5,24.6,41.5,9.2,0,18.5,33.8,21.1,78.9,55.6,44.4,32.1,67.9
Rajon Rondo,CHI,31,68,33,35,26.8,76.3,23.7,67,16.3,27.3,14,5.7,12.1,50.8,24.9,75.1,93.8,6.3,39.6,60.4
Rakeem Christmas,IND,25,28,13,15,7.8,100,0,65.5,0,0,3.4,34.5,12.1,65.5,73.7,26.3,0,0,73.7,26.3
Ramon Sessions,CHA,30,50,23,27,16.2,76.4,23.6,50.6,9.6,20.2,14.1,29.2,6.1,41,39.2,60.8,85.7,14.3,49,51
Randy Foye,BKN,33,67,17,50,18.6,37.7,62.3,28.3,4,56.9,13,14.7,12.5,24.4,26,74,76.1,23.9,54.7,45.3
Rashad Vaughn,MIL,20,39,17,22,10.7,45.4,54.6,42.2,15.6,56.3,8.6,1.6,16.4,26.6,66.7,33.3,83.3,16.7,74.5,25.5
Raul Neto,UTA,24,40,24,16,8.6,65.9,34.1,62,8,30,13,8,28,54,25.8,74.2,90,10,41.5,58.5
Raymond Felton,LAC,32,78,48,30,21.3,71.7,28.3,64.5,18.9,26,14.5,9.4,13.8,45.7,24.6,75.4,73.9,26.1,35,65
Reggie Bullock,DET,26,29,13,16,14.4,45.1,54.9,42.5,10.6,53.1,9.7,4.4,23.9,31.9,79.2,20.8,100,0,88.6,11.4
Reggie Jackson,DET,26,52,23,29,27.4,72.8,27.2,58,20.5,26.3,7.4,15.7,14.6,37.5,7.3,92.7,45.5,54.5,16.2,83.8
Reggie Williams,NOP,30,6,1,5,13.2,52.2,47.8,22.2,7.4,55.6,11.1,22.2,7.4,14.8,33.3,66.7,80,20,62.5,37.5
Richard Jefferson,CLE,36,77,50,27,20.4,46.2,53.8,41.3,2.7,41.5,10.4,17.2,15,38.5,74.7,25.3,98.4,1.6,84.2,15.8
Richaun Holmes,PHI,23,55,16,39,20.5,81.4,18.6,72.1,8.3,15.4,10.4,12.5,12.1,63.8,81.1,18.9,100,0,83.4,16.6
Ricky Rubio,MIN,26,74,28,46,32.9,69.7,30.3,48.2,28.7,21.5,12.8,30.3,16.4,19.5,26.8,73.2,94.9,5.1,42.4,57.6
RJ Hunter,CHI,23,3,2,1,3.1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Covington,PHI,26,67,27,40,31.6,43.7,56.3,35.9,3,47.6,19.1,16.6,20.6,32.9,65.2,34.8,94.2,5.8,78.8,21.2
Robin Lopez,CHI,29,79,38,41,28.1,99.7,0.3,91.4,29.8,0,3,8.6,8.7,61.6,67.9,32.1,0,0,67.9,32.1
Rodney Hood,UTA,24,58,39,19,27.1,54.1,45.9,42.3,17.3,45.5,6.1,12.2,10.8,24.9,29.5,70.5,74.1,25.9,48.1,51.9
Rodney McGruder,MIA,25,76,38,38,25.2,52.1,47.9,47.2,5.7,43.7,14.8,9,17.2,41.5,47.8,52.2,98.6,1.4,67.2,32.8
Rodney Stuckey,IND,30,39,17,22,17.9,75.4,24.6,51.2,23.5,20.3,15.3,28.5,11.4,27.8,18.1,81.9,78.9,21.1,30.8,69.2
Ron Baker,NYK,24,51,13,38,16.2,60.7,39.3,55.1,14.5,31.9,22.2,13,11.1,40.6,36.8,63.2,90.9,9.1,51.9,48.1
Rondae Hollis-Jefferson,BKN,22,76,19,57,22.3,87.5,12.5,66,11,6.4,21.3,27.6,17,54.9,51.6,48.4,92.9,7.1,54.1,45.9
Ronnie Price,PHX,33,13,4,9,8.9,23.5,76.5,0,0,66.7,22.2,33.3,22.2,0,0,0,100,0,100,0
Roy Hibbert,DEN,30,48,24,24,14.2,100,0,72.4,17.2,0,4.1,27.6,10,55.2,65,35,0,0,65,35
Rudy Gay,SAC,30,30,11,19,33.8,74.4,25.6,56.6,14.9,22.4,12.5,21,24,41.6,39.6,60.4,88.1,11.9,49.8,50.2
Rudy Gobert,UTA,24,79,49,30,33.9,99.8,0.2,72.4,0.4,0,7.2,27.6,13.8,72.1,73.8,26.2,0,0,73.8,26.2
Russell Westbrook,OKC,28,80,46,34,34.8,70.1,29.9,48.8,16.8,23.4,21.2,27.8,14.9,32,13.6,86.4,35.2,64.8,18.9,81.1
Ryan Anderson,HOU,28,70,49,21,29.5,35.2,64.8,24.5,6.8,62.1,7.2,13.4,11.9,17.7,37.1,62.9,97.4,2.6,75,25
Ryan Kelly,ATL,26,15,6,9,5.9,60,40,35.3,23.5,35.3,0,29.4,0,11.8,100,0,100,0,100,0
Salah Mejri,DAL,30,71,28,43,12.5,98.5,1.5,82.9,3.9,0,2.4,17.1,10.2,79,70.6,29.4,0,0,70.6,29.4
Sam Dekker,HOU,22,77,52,25,18.4,56.4,43.6,56.7,2.8,35.7,25.2,7.5,19,54,72.7,27.3,96.7,3.3,79.8,20.2
Sasha Vujacic,NYK,33,41,13,28,9.5,45.7,54.3,32.5,27.4,53.8,12,13.7,14.5,5.1,57.9,42.1,76.2,23.8,67.5,32.5
Sean Kilpatrick,BKN,27,70,14,56,25.1,58.1,41.9,43.5,8.5,34.3,18.3,22.2,12.1,35,43.5,56.5,75.2,24.8,54.4,45.6
Semaj Christon,OKC,24,62,35,27,14.9,72,28,71.6,20.5,18.8,6.8,9.7,12.5,51.1,28.6,71.4,81.8,18.2,36.5,63.5
Serge Ibaka,TOR,27,79,37,42,30.7,67.7,32.3,59.2,24.7,31.7,9.5,9.1,14.8,34.4,66.6,33.4,98.4,1.6,74.9,25.1
Sergio Rodriguez,PHI,30,68,24,44,22.3,53,47,44.5,17.4,52.1,12.6,3.4,17.4,27.2,19.5,80.5,56.5,43.5,35.7,64.3
Seth Curry,DAL,26,70,30,40,29,54.2,45.8,44.8,18.3,45.8,9.2,9.5,18.4,26.5,22.9,77.1,74.5,25.5,43.8,56.2
Shabazz Muhammad,MIN,24,76,29,47,19.5,76,24,61.5,8.1,19.4,23.8,19,19.7,53.4,68,32,97.9,2.1,73.2,26.8
Shabazz Napier,POR,25,51,25,26,8.8,45.5,54.5,33.5,16.1,50.3,14.3,16.1,20.5,17.4,18.5,81.5,66.7,33.3,42.6,57.4
Shaun Livingston,GSW,31,74,62,12,17.7,99,1,88.3,34.8,0.8,13.8,10.9,17.1,53.5,51.2,48.8,100,0,51.5,48.5
Shawn Long,PHI,24,16,5,11,13.2,83.9,16.1,71,4.3,15.2,4.3,13.8,15.2,66.7,55.1,44.9,100,0,60.7,39.3
Sheldon McClellan,WAS,24,29,17,12,8.7,59.4,40.6,50,22.2,25,12.5,25,18.1,27.8,50,50,83.3,16.7,58.3,41.7
Shelvin Mack,UTA,26,53,32,21,21.6,68.8,31.2,62.3,14.5,25.4,8.2,12.2,15.2,47.9,32,68,61.8,38.2,38.4,61.6
Skal Labissiere,SAC,21,31,8,23,17.8,96.6,3.4,80,24.4,3.3,5.2,16.7,14.1,55.6,60.2,39.8,100,0,61.3,38.7
Solomon Hill,NOP,26,78,33,45,29.7,43.1,56.9,31,2.6,50.9,20.8,18.1,11.6,28.4,34.5,65.5,100,0,68.8,31.3
Spencer Dinwiddie,BKN,24,57,13,44,22.6,67.8,32.2,45.2,13.6,26.1,12.7,28.7,20.9,31.5,21.9,78.1,56.8,43.2,31.6,68.4
Spencer Hawes,MIL,28,53,27,26,14.7,71.1,28.9,65.8,11.2,21.4,5.3,12.7,7.8,54.7,81.1,18.9,100,0,84.5,15.5
Stanley Johnson,DET,20,75,35,40,17.7,57.8,42.2,50.2,23,39,13,10.9,13,27.2,34.9,65.1,95.3,4.7,55.6,44.4
Stephen Curry,GSW,29,77,64,13,33.5,45.6,54.4,35.6,10.1,48.1,24.3,16.3,17.3,25.4,40.9,59.1,63.9,36.1,51.8,48.2
Stephen Zimmerman,ORL,20,18,7,11,5.5,100,0,85.7,19,0,0,14.3,19,66.7,55.6,44.4,0,0,55.6,44.4
Steve Novak,MIL,33,8,6,2,2.7,14.3,85.7,40,0,60,0,0,0,40,100,0,100,0,100,0
Steven Adams,OKC,23,78,46,32,30.1,99.8,0.2,82.3,0.7,0,9,17.7,10.5,81.6,67.4,32.6,0,0,67.4,32.6
T.J. McConnell,PHI,25,79,27,52,26.3,89.2,10.8,80.7,17.8,6.1,12.2,13.1,17.2,63,25.2,74.8,90.9,9.1,28.4,71.6
Taj Gibson,OKC,31,77,41,36,25.5,98.1,1.9,86,14.2,1.1,10.3,13,12.7,71.8,66.2,33.8,66.7,33.3,66.2,33.8
Tarik Black,LAL,25,65,23,42,16.3,99.3,0.7,77.6,1.6,0.8,8.6,21.6,11.9,76,68.1,31.9,0,100,67.6,32.4
Taurean Prince,ATL,23,57,27,30,16.4,64.1,35.9,46.8,9.5,30.4,21.8,22.8,23.7,37.3,63.5,36.5,87.5,12.5,70.8,29.2
Terrence Jones,MIL,25,54,20,34,23.5,84.8,15.2,72.6,8.2,9.8,15.6,17.6,20.5,64.4,64.2,35.8,100,0,67.1,32.9
Terrence Ross,ORL,26,76,38,38,25.2,47.5,52.5,42.7,19.5,49.9,14.5,7.4,23,23.2,51.1,48.9,85.9,14.1,66.4,33.6
Terry Rozier,BOS,23,72,45,27,17.3,56.5,43.5,45.6,13.7,41.9,18.4,12.5,16.2,31.9,33.3,66.7,80.7,19.3,51.3,48.7
Thabo Sefolosha,ATL,32,60,31,29,25.9,69.8,30.2,59.5,14.5,28,17.7,12.5,24.3,45,64.1,35.9,95.1,4.9,71.5,28.5
Thaddeus Young,IND,28,72,38,34,30.1,82.2,17.8,77.2,6.6,17.2,14.3,5.6,16.8,70.6,72.6,27.4,97.8,2.2,75.9,24.1
Thomas Robinson,LAL,26,46,14,32,11.5,99.5,0.5,87.2,4.4,0,15.9,12.8,19.4,82.8,47.5,52.5,0,0,47.5,52.5
Thon Maker,MIL,20,55,30,25,9.5,57.6,42.4,47.4,7.4,39.1,13.5,13.5,19.5,40,64.7,35.3,100,0,77.2,22.8
Tiago Splitter,PHI,32,6,1,5,7.7,88.2,11.8,64,0,12,8,24,16,64,100,0,100,0,100,0
Tim Frazier,NOP,26,63,25,38,23.5,68.6,31.4,54.4,13.3,25.2,17.7,20.4,15.3,41.2,26.8,73.2,60.5,39.5,34.8,65.2
Tim Hardaway Jr.,ATL,25,78,41,37,27.3,54.4,45.6,46.6,9,39.2,20.7,14.3,16.2,37.6,63.3,36.7,85.1,14.9,71.1,28.9
Tim Quarterman,POR,22,14,5,9,3.1,53.8,46.2,52.6,10.5,47.4,31.6,0,26.3,42.1,0,100,66.7,33.3,25,75
Timofey Mozgov,LAL,30,54,16,38,20.4,99.7,0.3,84.3,20,0,10.5,15.7,13,64.3,74.6,25.4,0,0,74.6,25.4
Timothe Luwawu-Cabarrot,PHI,21,67,23,44,16.9,54.9,45.1,42.8,0,33.2,19.4,24.1,16.5,42.8,64.4,35.6,97.8,2.2,75.8,24.2
TJ Warren,PHX,23,65,20,45,30.9,87.9,12.1,79.4,22.4,8,23.5,12.6,16.6,57,54,46,92,8,56.4,43.6
Tobias Harris,DET,24,80,37,43,31.3,70.6,29.4,61.1,19.7,24.4,12,14.5,18,41.5,50.4,49.6,99,1,60.6,39.4
Tomas Satoransky,WAS,25,55,32,23,12.2,76.1,23.9,68.1,18.4,17,9.2,14.9,18.4,49.6,39.6,60.4,100,0,48.2,51.8
Toney Douglas,MEM,31,24,15,9,16.4,64.1,35.9,61.5,23.9,17.9,16.2,20.5,23.1,37.6,36.1,63.9,42.9,57.1,37.2,62.8
Tony Allen,MEM,35,70,36,34,27.3,90.9,9.1,80.4,3.8,7,20.7,12.5,21,76.7,55.6,44.4,100,0,58.1,41.9
Tony Parker,SAS,34,61,46,15,25.3,87.7,12.3,75.8,27.1,11.3,13.4,12.9,16.2,48.7,25.4,74.6,100,0,32.2,67.8
Tony Snell,MIL,25,79,41,38,29.2,34.2,65.8,30,8.4,63,10.9,7,18,21.6,65,35,99.3,0.7,85,15
Treveon Graham,CHA,23,25,10,15,5.9,56,44,17.1,0,60,14.3,22.9,14.3,17.1,66.7,33.3,100,0,90,10
Trevor Ariza,HOU,31,78,52,26,34.6,30.1,69.9,28,2.2,62,21.7,10.1,21.3,25.8,59.4,40.6,95.8,4.2,81.1,18.9
Trevor Booker,BKN,29,71,18,53,24.7,86.8,13.2,79,8.2,10.6,13.8,10.4,15.4,70.8,45,55,84,16,48.2,51.8
Trey Burke,WAS,24,55,34,21,12.1,74,26,62,38,30.2,10.9,7.8,13.2,24,22.5,77.5,88.5,11.5,38.7,61.3
Trey Lyles,UTA,21,70,42,28,16.4,53.3,46.7,42.8,9.6,44.4,7.1,12.8,15.5,33.3,40.4,59.6,95.4,4.6,62.9,37.1
Tristan Thompson,CLE,26,77,50,27,30.1,99.3,0.7,82.9,2.3,0,9.8,17.1,11.6,80.6,70.8,29.2,0,0,70.8,29.2
Troy Daniels,MEM,25,66,33,33,17.6,27.8,72.2,17.2,12,75,12.6,7.8,12.2,5.1,68.1,31.9,83.9,16.1,79.9,20.1
Troy Williams,HOU,22,28,18,10,18.9,62.6,37.4,59.5,4.8,30.4,33.9,10.1,31.5,54.8,44,56,94.1,5.9,56.7,43.3
Ty Lawson,SAC,29,68,24,44,25,77.1,22.9,60.1,23.1,15,12,24.9,15.6,37,19.2,80.8,75.8,24.2,27.3,72.7
Tyler Ennis,LAL,22,51,27,24,10.2,68.1,31.9,55.5,5.7,35.9,11.5,8.6,14.4,49.8,8.6,91.4,56,44,22.9,77.1
Tyler Johnson,MIA,24,71,33,38,29.9,69.8,30.2,53,16,27.7,14.5,19.3,19.1,37,45.7,54.3,95.6,4.4,58.6,41.4
Tyler Ulis,PHX,21,60,15,45,18.1,82.8,17.2,74.8,41.2,12.9,15.6,12.2,12.5,33.6,11.5,88.5,55.6,44.4,16.1,83.9
Tyler Zeller,BOS,27,49,30,19,10.3,99.3,0.7,88.8,18.9,0,10.7,11.2,16.6,69.8,84,16,0,0,84,16
Tyreke Evans,SAC,27,40,17,23,19.7,68.1,31.9,52.6,6.8,30.7,21.2,16.8,16.3,45.7,20.4,79.6,54.8,45.2,30,70
Tyson Chandler,PHX,34,47,15,32,27.6,100,0,77.1,0,0,7.3,22.9,14.4,77.1,62.1,37.9,0,0,62.1,37.9
Tyus Jones,MIN,20,58,23,35,12.6,59.8,40.2,47.4,11.6,36.3,18.9,16.3,19.5,35.8,31.1,68.9,87,13,50,50
Udonis Haslem,MIA,36,15,5,10,8.6,90.9,9.1,71,0,0,0,29,12.9,71,63.6,36.4,0,0,63.6,36.4
Victor Oladipo,OKC,24,65,38,27,33.3,62,38,53,15.8,36.2,21,10.8,16.1,37.2,44.4,55.6,88,12,58,42
Vince Carter,MEM,40,72,36,36,24.7,39.9,60.1,27.9,6.2,57.3,5.7,14.8,10.7,21.7,43.2,56.8,91,9,70.8,29.2
Wade Baldwin IV,MEM,21,32,18,14,12.1,80.4,19.6,61.9,20.6,9.3,15.5,28.9,23.7,41.2,26.7,73.3,33.3,66.7,27.3,72.7
Wayne Ellington,MIA,29,60,33,27,24.1,29.6,70.4,26.2,17.9,67.9,12.1,5.9,15.3,8.3,75.6,24.4,93,7,86.6,13.4
Wayne Selden,MEM,22,13,6,7,15.8,51,49,52.5,6.6,24.6,31.1,23,9.8,45.9,56.3,43.8,100,0,66.7,33.3
Wesley Johnson,LAC,29,66,38,28,11.9,41,59,46.2,20.9,47.8,12.6,6,20.3,25.3,76.2,23.8,100,0,85.9,14.1
Wesley Matthews,DAL,30,73,29,44,34.2,43.4,56.6,32.3,12.4,52.9,10.4,14.8,18.4,19.9,29.6,70.4,83.9,16.1,58,42
Will Barton,DEN,26,60,31,29,28.4,64.7,35.3,50.7,8.5,31.8,19.1,17.4,13.8,42.2,34.6,65.4,73.6,26.4,46.1,53.9
Willie Cauley-Stein,SAC,23,73,28,45,18.7,99.6,0.4,82.9,7.9,0,8.1,17.1,17.8,75,72.5,27.5,0,0,72.5,27.5
Willie Reed,MIA,26,69,37,32,14.6,98.5,1.5,86.1,5.1,0.8,8.5,13,17.6,81,63.8,36.2,100,0,64.1,35.9
Willy Hernangomez,NYK,22,71,26,45,18.4,96.8,3.2,83.1,7.2,2.1,6.4,14.8,14.8,75.9,60.6,39.4,100,0,61.2,38.8
Wilson Chandler,DEN,29,70,34,36,31.2,65.3,34.7,57.9,11.4,29.5,11.7,12.5,11.6,46.6,49.5,50.5,91.7,8.3,60.2,39.8
Yogi Ferrell,DAL,23,44,17,27,25.8,55,45,39.6,14.8,44.5,12.8,16,16.6,24.7,21.6,78.4,56.1,43.9,36.4,63.6
Zach LaVine,MIN,22,47,16,31,37.2,56.3,43.7,46.3,14.6,40.5,20.7,13.2,21.9,31.7,46.6,53.4,81.7,18.3,59.5,40.5
Zach Randolph,MEM,35,72,38,34,24.5,90.2,9.8,80,21.9,6.2,3.9,13.8,13.2,58,48.1,51.9,100,0,50.7,49.3
Zaza Pachulia,GSW,33,68,57,11,18.1,99.7,0.3,77.2,8.3,0,13.1,22.8,10.4,68.9,80.5,19.5,0,0,80.5,19.5
